id, iata, icao, name, country_id
1295,NULL,KFRG,FARMINGDALE,57
1296,KEK,NULL,EKWOK,57
1297,PHN,KPHN,PORT HURON,57
1298,LAX,KLAX,LOS ANGELES INTL,57
1299,VNY,NULL,VAN NUYS,57
1300,GEG,KGEG,SPOKANE INTL,57
1301,SFF,NULL,FELTS FIELD,57
1302,FAT,KFAT,FRESNO AIR TERMINAL,57
1303,EIL,PAEI,EIELSON AIR FORCE BASE,57
1304,FAI,PAFA,FAIRBANKS INTL,57
1305,OTM,NULL,INDUSTRIAL,57
1306,OSH,NULL,WINNEBAGO COUNTY,57
1307,IMT,NULL,FORD,57
1308,IYK,NULL,KEM COUNTY,57
1309,MZJ,KMZJ,MARANA,57
1310,TRI,KTRI,TRI-CITIES REGIONAL,57
1311,DPA,KDPA,DUPAGE AIRPORT,57
1312,NULL,KARD,ANDRUS AIR BASE,57
1313,RDU,KRDU,"RALEIGH-DURHAM INTERNATIONAL AIRPORT,NC",57
1314,BOS,KBOS,GEN. EDWARD L. LOGAN INTL,57
1315,MTP,NULL,SKY PORTAL,57
1316,MSP,KMSP,MINNEAPOLIS ST.PAUL INTL,57
1317,JDT,NULL,DOWNTOWN HELIPORT,57
1318,PBI,KPBI,PALM BEACH INTL,57
1319,LNA,NULL,PALM BEACH COUNTY,57
1320,ONT,KONT,ONTARIO INTL,57
1321,WBN,NULL,CUMMINGS PARK,57
1322,TCL,NULL,VAN DE GRAAF,57
1323,SLK,NULL,ADIRONDACK,57
1324,TTN,NULL,MERCER COUNTY,57
1325,TEB,KTEB,TETERBORO,57
1326,YKN,NULL,CHAN GURNEY,57
1327,YKM,NULL,AIR TERMINAL,57
1328,INT,NULL,SMITH-REYNOLDS,57
1329,ILN,NULL,CLINTON FIELD,57
1330,ISN,NULL,SLOULIN FIELD,57
1331,IPT,NULL,LYCOMING COUNTY,57
1332,KIP,NULL,KICKAPOO,57
1333,ICT,NULL,MID-CONTINENT,57
1334,HLG,NULL,OHIO COUNTY,57
1335,KWP,NULL,VILLAGE SEAPLANE BASE,57
1336,FOK,NULL,SUFFOLK COUNTY,57
1337,ATL,KATL,WILLIAM B. HARTSFIELD-ATLANTA INTL,57
1338,ANC,PANC,ANCHORAGE INTL,57
1339,EDF,PAED,ELMENDORF AIR FORCE BASE,57
1340,MRI,NULL,MERRILL FIELD,57
1341,EFO,NULL,EAST FORK,57
1342,CTX,NULL,CORTLAND,57
1343,KCR,NULL,COLORADO CREEK,57
1344,CLR,NULL,CALIPATRIA,57
1345,BUM,NULL,BUTLER,57
